Code,Variable
Al-D,Aluminium - Dissolved
Al-T,Aluminum - Total
NH4,Ammonia
As,Arsenic
Cd,Cadmium
Cl,Chloride
,Clarity
Cu,Copper
CN?,Cyanide
DO,Dissolved Oxygen
,E.coli
,Enterococci
F-,Fluoride
Fe,Iron
Pb,Lead
Mn,Manganese
Hg,Mercury
Mo,Molybdenum
Ni,Nickel
NO3-,Nitrate
NO2?,Nitrite
pH,pH
Se,Selenium
Ag,Silver
SO42-,Sulphate
TN,Total Nitrogen
TP,Total Phosphorus
,Turbidity
Zn,Zinc
