"Variable","Jurisdiction","Use","SubUse","Samples","Days","Average","Condition","Guideline","Unit","Comments","Date","URL","TableNumber"
"Aluminium - Dissolved","BC","Drinking",NA,1,1,"mean",NA,"<= 0.2","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminium - Dissolved","BC","Freshwater Life",NA,1,1,"mean","pH >= 6.5","<= 0.1","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminium - Dissolved","BC","Freshwater Life",NA,5,30,"mean","median(pH) >=6.5","<= 0.05","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminium - Dissolved","BC","Freshwater Life",NA,1,1,"mean","pH < 6.5","<= exp(1.209 - 2.426 * pH + 0.286 * pH^2)","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminium - Dissolved","BC","Freshwater Life",NA,5,30,"mean","median(pH) < 6.5","<= exp(1.6 - 3.327 * median(pH) + 0.402 * median(pH)^2)","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminum - Total","BC","Wildlife",NA,1,1,"mean",NA,"<= 5","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminum - Total","BC","Livestock",NA,1,1,"mean",NA,"<= 5","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminum - Total","BC","Irrigation",NA,1,1,"mean",NA,"<= 5","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Aluminum - Total","BC","Recreation",NA,1,1,"mean",NA,"<= 0.2","mg/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/aluminum/aluminum.html",NA
"Arsenic","BC","Drinking",NA,1,1,"mean",NA,"<= 25","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/arsenic/index.html",NA
"Arsenic","BC","Freshwater Life",NA,1,1,"mean",NA,"<= 5","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/arsenic/index.html",NA
"Arsenic","BC","Marine Life",NA,1,1,"mean",NA,"<= 12.5","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/arsenic/index.html",NA
"Arsenic","BC","Irrigation",NA,1,1,"mean",NA,"<= 100","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/arsenic/index.html",NA
"Arsenic","BC","Livestock",NA,1,1,"mean",NA,"<= 25","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/arsenic/index.html",NA
"Arsenic","BC","Wildlife",NA,1,1,"mean",NA,"<= 25","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/arsenic/index.html",NA
"Cadmium","CA","Drinking",NA,1,1,"mean","for Aquatic life ","I will do this later","ug/L",NA,2014-12-21,"http://www.env.gov.bc.ca/wat/wq/BCguidelines/chlorophenols/chlorophenol.html#table3",NA
"Cadmium","CA","Freshwater Life",NA,1,1,"mean",NA,"<= 5","ug/L",NA,2014-12-21,"http://st-ts.ccme.ca/en/index.html?chems=all&chapters=1&pdf=1",NA
"Cadmium","CA","Marine Life",NA,1,1,"mean",NA,"<= 0.09","ug/L",NA,2014-12-21,"http://st-ts.ccme.ca/en/index.html?chems=all&chapters=1&pdf=1",NA
"Cadmium","CA","Irrigation",NA,1,1,"mean",NA,"<= 0.12","ug/L",NA,2014-12-21,"http://st-ts.ccme.ca/en/index.html?chems=all&chapters=2&pdf=1",NA
"Cadmium","CA","Livestock",NA,1,1,"mean",NA,"<= 5.1","ug/L",NA,2014-12-21,"http://st-ts.ccme.ca/en/index.html?chems=all&chapters=2&pdf=1",NA
"Clarity","CA","Recreation",NA,1,1,"mean",NA,"<= 80","m",NA,2014-12-21,"http://www.hc-sc.gc.ca/ewh-semt/pubs/water-eau/guide_water-2012-guide_eau/index-eng.php",NA
"Copper","BC","Drinking",NA,1,1,"mean",NA,"<= 500","ug/L",NA,2006-01-08,"bc_pdf","9"
"Copper","BC","Freshwater Life",NA,1,1,"mean","average water hardness as CaC03 <= 50 mg/L","(0.094(hardness)+2) ?g/L
(hardness as mg/L CaCO3)","ug/L",NA,2006-01-08,"bc_pdf","9"
"Copper","BC","Freshwater Life",NA,5,30,"mean","average water hardness as CaC03 <= 50 mg/L","<= 2","ug/L",NA,2006-01-08,"bc_pdf","9"
"Copper","BC","Freshwater Life",NA,1,1,"mean","average water hardness as CaC03 > 50 mg/L","(0.094(hardness)+2) ?g/L
(hardness as mg/L CaCO3)","ug/L",NA,2006-01-08,"bc_pdf","9"
