EMS_Code,EC_Code
EMS_AK_T,364
EMS_AL_D,370
EMS_0108,605
EMS_1108,604
EMS_AS_D,376
EMS_AS_T,379
EMS_BA_D,386
EMS_BA_T,388
EMS_B__D,399
EMS_B__T,401
EMS_CD_D,409
EMS_CD_T,412
EMS_1104,426
EMS_0104,3485
EMS_CR_D,460
EMS_CR_T,463
EMS_CO_D,453
EMS_CO_T,456
EMS_0001,437
EMS_0002,443
EMS_CU_D,467
EMS_CU_T,470
EMS_1106,532
EMS_0106,511
EMS_0107,542
EMS_FE_D,516
EMS_FE_T,519
EMS_PB_D,678
EMS_PB_T,683
EMS_MN_D,588
EMS_MN_T,591
EMS_HG_T,549
EMS_MO_D,593
EMS_MO_T,595
EMS_NI_D,607
EMS_NI_T,610
EMS_NO3_,9138
EMS_0110,3437
EMS_0109,1658
EMS_0111,612
EMS_1114,637
EMS_0114,635
EMS_0014,659
EMS_0004,687
EMS_P__D,731
EMS_P__T,730
EMS_SE_D,779
EMS_SE_T,782
EMS_AG_D,348
EMS_AG_T,350
EMS_1121,814
EMS_0121,813
EMS_0013,840
EMS_TL_D,859
EMS_TL_T,861
EMS_0015,864
EMS_U__D,2729
EMS_U__T,2725
EMS_ZN_D,887
EMS_ZN_T,890
