variable_name,variable_group,paramShortName,constitAbbrev,paramGROUP
ADSORBABLE ORGANIC HALIDE - AOX,"HALIDES, ORGANIC",ADSORBABLE ORGANIC HALIDE - AOX,AOX,OTHER
TEMPERATURE AIR,DESCRIPTIVE,AIR TEMPERATURE,TEMP_AIR,PHYSICALS
ALKALINITY GRAN CACO3,"IONS, MAJOR IONS",ALKALINITY GRAN,ALK_GRAN,IONS
GRAN ALKALINITY (AS H+),"IONS, MAJOR IONS",ALKALINITY GRAN,ALK_GRAN,IONS
ALKALINITY PHENOLPHTHALEIN CACO3,"IONS, MAJOR IONS",ALKALINITY PHENOLPHTHALEIN CACO3,ALK_PHENOLPHTHALEIN,IONS
ALKALINITY TOTAL CACO3,"IONS, MAJOR IONS",ALKALINITY TOTAL CACO3,ALK_TOT,IONS
ALUMINUM DISSOLVED,"METALS, DISSOLVED",ALUMINUM DISSOLVED,ALUMINUM_DISS,METALS_DISSOLVED
ALUMINUM EXTRACTABLE,"METALS, EXTRACTABLE",ALUMINUM EXTRACTABLE,ALUMINUM_EXT,METALS_EXTRACTABLE
ALUMINUM TOTAL,"METALS, TOTAL",ALUMINUM TOTAL,ALUMINUM_TOT,METALS_TOTAL
AMMONIA DISSOLVED,NITROGEN,AMMONIA,AMMONIA,NUTRIENTS
AMMONIA TOTAL,NITROGEN,AMMONIA,AMMONIA,NUTRIENTS
ANTIMONY DISSOLVED,"METALS, DISSOLVED",ANTIMONY DISSOLVED,ANTIMONY_DISS,METALS_DISSOLVED
ANTIMONY EXTRACTABLE,"METALS, EXTRACTABLE",ANTIMONY EXTRACTABLE,ANTIMONY_EXT,METALS_EXTRACTABLE
ANTIMONY TOTAL,"METALS, TOTAL",ANTIMONY TOTAL,ANTIMONY_TOT,METALS_TOTAL
ARSENIC DISSOLVED,"METALS, DISSOLVED",ARSENIC DISSOLVED,ARSENIC_DISS,METALS_DISSOLVED
ARSENIC EXTRACTABLE,"METALS, EXTRACTABLE",ARSENIC EXTRACTABLE,ARSENIC_EXT,METALS_EXTRACTABLE
ARSENIC TOTAL,"METALS, TOTAL",ARSENIC TOTAL,ARSENIC_TOT,METALS_TOTAL
BARIUM DISSOLVED,"METALS, DISSOLVED",BARIUM DISSOLVED,BARIUM_DISS,METALS_DISSOLVED
BARIUM EXTRACTABLE,"METALS, EXTRACTABLE",BARIUM EXTRACTABLE,BARIUM_EXT,METALS_EXTRACTABLE
BARIUM TOTAL,"METALS, TOTAL",BARIUM TOTAL,BARIUM_TOT,METALS_TOTAL
BERYLLIUM DISSOLVED,"METALS, DISSOLVED",BERYLLIUM DISSOLVED,BERYLLIUM_DISS,METALS_DISSOLVED
BERYLLIUM EXTRACTABLE,"METALS, EXTRACTABLE",BERYLLIUM EXTRACTABLE,BERYLLIUM_EXT,METALS_EXTRACTABLE
BERYLLIUM TOTAL,"METALS, TOTAL",BERYLLIUM TOTAL,BERYLLIUM_TOT,METALS_TOTAL
BICARBONATE (CALCD.),CALCULATED QUANTITIES,BICARBONATE (CALCD.),BICARBONATE,IONS
BISMUTH DISSOLVED,"METALS, DISSOLVED",BISMUTH DISSOLVED,BISMUTH_DISS,METALS_DISSOLVED
BISMUTH EXTRACTABLE,"METALS, EXTRACTABLE",BISMUTH EXTRACTABLE,BISMUTH_EXT,METALS_EXTRACTABLE
BISMUTH TOTAL,"METALS, TOTAL",BISMUTH TOTAL,BISMUTH_TOT,METALS_TOTAL
BORON DISSOLVED,"METALS, DISSOLVED",BORON DISSOLVED,BORON_DISS,METALS_DISSOLVED
BORON EXTRACTABLE,"METALS, EXTRACTABLE",BORON EXTRACTABLE,BORON_EXT,METALS_EXTRACTABLE
BORON TOTAL,"METALS, TOTAL",BORON TOTAL,BORON_TOT,METALS_TOTAL
BROMIDE,"IONS, MAJOR IONS",BROMIDE,BROMIDE,IONS
BROMIDE DISSOLVED,"IONS, ANIONS AND CATIONS",BROMIDE,BROMIDE,IONS
BROMINE EXTRACTABLE,"NONMETALS,EXTRACTABLE",BROMIDE,BROMIDE,IONS
CADMIUM DISSOLVED,"METALS, DISSOLVED",CADMIUM DISSOLVED,CADMIUM_DISS,METALS_DISSOLVED
CADMIUM EXTRACTABLE,"METALS, EXTRACTABLE",CADMIUM EXTRACTABLE,CADMIUM_EXT,METALS_EXTRACTABLE
CADMIUM TOTAL,"METALS, TOTAL",CADMIUM TOTAL,CADMIUM_TOT,METALS_TOTAL
CALCIUM DISSOLVED,"IONS, MAJOR IONS",CALCIUM,CALCIUM,IONS
CALCIUM EXTRACTABLE,"IONS, MAJOR IONS",CALCIUM,CALCIUM,IONS
CARBON DISSOLVED INORGANIC,CARBON,CARBON DISSOLVED INORGANIC,CARBON_DISS_INORG,CARBON
CARBON DISSOLVED ORGANIC,CARBON,CARBON DISSOLVED ORGANIC,CARBON_DISS_ORG,CARBON
CARBON TOTAL INORGANIC,CARBON,CARBON TOTAL INORGANIC,CARBON_TOT_INORG,CARBON
CARBON TOTAL ORGANIC,CARBON,CARBON TOTAL ORGANIC,CARBON_TOT_ORG,CARBON
CARBONATE (CALCD.),CALCULATED QUANTITIES,CARBONATE (CALCD.),CARBONATE,IONS
CERIUM DISSOLVED,"METALS, DISSOLVED",CERIUM DISSOLVED,CERIUM_DISS,METALS_DISSOLVED
CERIUM EXTRACTABLE,"METALS, EXTRACTABLE",CERIUM EXTRACTABLE,CERIUM_EXT,METALS_EXTRACTABLE
CERIUM TOTAL,"METALS, TOTAL",CERIUM TOTAL,CERIUM_TOT,METALS_TOTAL
CESIUM DISSOLVED,"METALS, DISSOLVED",CESIUM DISSOLVED,CESIUM_DISS,METALS_DISSOLVED
CESIUM EXTRACTABLE,"METALS, EXTRACTABLE",CESIUM EXTRACTABLE,CESIUM_EXT,METALS_EXTRACTABLE
CESIUM TOTAL,"METALS, TOTAL",CESIUM TOTAL,CESIUM_TOT,METALS_TOTAL
CHLORIDE,"IONS, MAJOR IONS",CHLORIDE,CHLORIDE,IONS
CHLORIDE DISSOLVED,"IONS, MAJOR IONS",CHLORIDE,CHLORIDE,IONS
CHROMIUM DISSOLVED,"METALS, DISSOLVED",CHROMIUM DISSOLVED,CHROMIUM_DISS,METALS_DISSOLVED
CHROMIUM EXTRACTABLE,"METALS, EXTRACTABLE",CHROMIUM EXTRACTABLE,CHROMIUM_EXT,METALS_EXTRACTABLE
CHROMIUM TOTAL,"METALS, TOTAL",CHROMIUM TOTAL,CHROMIUM_TOT,METALS_TOTAL
COBALT DISSOLVED,"METALS, DISSOLVED",COBALT DISSOLVED,COBALT_DISS,METALS_DISSOLVED
COBALT EXTRACTABLE,"METALS, EXTRACTABLE",COBALT EXTRACTABLE,COBALT_EXT,METALS_EXTRACTABLE
COBALT TOTAL,"METALS, TOTAL",COBALT TOTAL,COBALT_TOT,METALS_TOTAL
COLIFORMS FECAL,BIOTA,COLIFORMS FECAL,COLI_FECAL,BIOTA
COLIFORMS TOTAL,BIOTA,COLIFORMS TOTAL,COLI_TOT,BIOTA
COLOUR APPARENT,PHYSICALS,COLOUR APPARENT,COLOUR_APPARENT,PHYSICALS
COLOUR TOTAL ABSORBANCE,PHYSICALS,COLOUR TOTAL ABSORBANCE,COLOUR_TOT,PHYSICALS
COLOUR TRUE,PHYSICALS,COLOUR TRUE,COLOUR_TRUE,PHYSICALS
COPPER DISSOLVED,"METALS, DISSOLVED",COPPER DISSOLVED,COPPER_DISS,METALS_DISSOLVED
COPPER EXTRACTABLE,"METALS, EXTRACTABLE",COPPER EXTRACTABLE,COPPER_EXT,METALS_EXTRACTABLE
COPPER TOTAL,"METALS, TOTAL",COPPER TOTAL,COPPER_TOT,METALS_TOTAL
CYANIDE TOTAL,CARBON,CYANIDE TOTAL,CYANIDE_TOT,CARBON
"CYANIDE, WEAK ACID DISSOCIABLE",CARBON,"CYANIDE, WEAK ACID DISSOCIABLE",CYANIDE_WEAK ACID DISSOCIABLE,CARBON
ENTEROCOCCUS,BIOTA,ENTEROCOCCUS,ENTEROCOCCUS,BIOTA
ENTEROCOCUS,BIOTA,ENTEROCOCCUS,ENTEROCOCCUS,BIOTA
ESCHERICHIA COLI,BIOTA,ESCHERICHIA COLI,E_COLI,BIOTA
FLUORIDE,"IONS, MAJOR IONS",FLUORIDE,FLUORIDE,IONS
FLUORIDE DISSOLVED,"IONS, MAJOR IONS",FLUORIDE,FLUORIDE,IONS
GALLIUM DISSOLVED,"METALS, DISSOLVED",GALLIUM DISSOLVED,GALLIUM_DISS,METALS_DISSOLVED
GALLIUM EXTRACTABLE,"METALS, EXTRACTABLE",GALLIUM EXTRACTABLE,GALLIUM_EXT,METALS_EXTRACTABLE
GALLIUM TOTAL,"METALS, TOTAL",GALLIUM TOTAL,GALLIUM_TOT,METALS_TOTAL
HARDNESS TOTAL (CALCD.) CACO3,CALCULATED QUANTITIES,HARDNESS TOTAL (CALCD.) CACO3,HARDNESS_TOT,IONS
HYDROXIDE (CALCD.),CALCULATED QUANTITIES,HYDROXIDE (CALCD.),HYDROXIDE,IONS
IRON DISSOLVED,"METALS, DISSOLVED",IRON DISSOLVED,IRON_DISS,METALS_DISSOLVED
IRON EXTRACTABLE,"METALS, EXTRACTABLE",IRON EXTRACTABLE,IRON_EXT,METALS_EXTRACTABLE
IRON TOTAL,"METALS, TOTAL",IRON TOTAL,IRON_TOT,METALS_TOTAL
LANTHANUM DISSOLVED,"METALS, DISSOLVED",LANTHANUM DISSOLVED,LANTHANUM_DISS,METALS_DISSOLVED
LANTHANUM EXTRACTABLE,"METALS, EXTRACTABLE",LANTHANUM EXTRACTABLE,LANTHANUM_EXT,METALS_EXTRACTABLE
LANTHANUM TOTAL,"METALS, TOTAL",LANTHANUM TOTAL,LANTHANUM_TOT,METALS_TOTAL
LEAD DISSOLVED,"METALS, DISSOLVED",LEAD DISSOLVED,LEAD_DISS,METALS_DISSOLVED
LEAD EXTRACTABLE,"METALS, EXTRACTABLE",LEAD EXTRACTABLE,LEAD_EXT,METALS_EXTRACTABLE
LEAD TOTAL,"METALS, TOTAL",LEAD TOTAL,LEAD_TOT,METALS_TOTAL
LITHIUM DISSOLVED,"METALS, DISSOLVED",LITHIUM DISSOLVED,LITHIUM_DISS,METALS_DISSOLVED
LITHIUM EXTRACTABLE,"METALS, EXTRACTABLE",LITHIUM EXTRACTABLE,LITHIUM_EXT,METALS_EXTRACTABLE
LITHIUM TOTAL,"METALS, TOTAL",LITHIUM TOTAL,LITHIUM_TOT,METALS_TOTAL
MAGNESIUM DISSOLVED,"IONS, MAJOR IONS",MAGNESIUM,MAGNESIUM,IONS
MAGNESIUM EXTRACTABLE,"IONS, MAJOR IONS",MAGNESIUM,MAGNESIUM,IONS
MANGANESE DISSOLVED,"METALS, DISSOLVED",MANGANESE DISSOLVED,MANGANESE_DISS,METALS_DISSOLVED
MANGANESE EXTRACTABLE,"METALS, EXTRACTABLE",MANGANESE EXTRACTABLE,MANGANESE_EXT,METALS_EXTRACTABLE
MANGANESE TOTAL,"METALS, TOTAL",MANGANESE TOTAL,MANGANESE_TOT,METALS_TOTAL
MERCURY DISSOLVED,"METALS, DISSOLVED",MERCURY DISSOLVED,MERCURY_DISS,METALS_DISSOLVED
MOLYBDENUM DISSOLVED,"METALS, DISSOLVED",MOLYBDENUM DISSOLVED,MOLYBDENUM_DISS,METALS_DISSOLVED
MOLYBDENUM EXTRACTABLE,"METALS, EXTRACTABLE",MOLYBDENUM EXTRACTABLE,MOLYBDENUM_EXT,METALS_EXTRACTABLE
MOLYBDENUM TOTAL,"METALS, TOTAL",MOLYBDENUM TOTAL,MOLYBDENUM_TOT,METALS_TOTAL
NICKEL DISSOLVED,"METALS, DISSOLVED",NICKEL DISSOLVED,NICKEL_DISS,METALS_DISSOLVED
NICKEL EXTRACTABLE,"METALS, EXTRACTABLE",NICKEL EXTRACTABLE,NICKEL_EXT,METALS_EXTRACTABLE
NICKEL TOTAL,"METALS, TOTAL",NICKEL TOTAL,NICKEL_TOT,METALS_TOTAL
NIOBIUM DISSOLVED,"METALS, DISSOLVED",NIOBIUM DISSOLVED,NIOBIUM_DISS,METALS_DISSOLVED
NIOBIUM EXTRACTABLE,"METALS, EXTRACTABLE",NIOBIUM EXTRACTABLE,NIOBIUM_EXT,METALS_EXTRACTABLE
NIOBIUM TOTAL,"METALS, TOTAL",NIOBIUM TOTAL,NIOBIUM_TOT,METALS_TOTAL
NITRATE (AS N),NITROGEN,NITRATE (AS N),NITRATE (AS N),NUTRIENTS
NITROGEN DISSOLVED NITRATE,"IONS, MAJOR IONS",NITROGEN  NITRATE,N_NITRATE,NUTRIENTS
NITROGEN TOTAL NITRATE,"IONS, MAJOR IONS",NITROGEN  NITRATE,N_NITRATE,NUTRIENTS
NITROGEN DISSOLVED KJELDAHL,NITROGEN,NITROGEN DISSOLVED KJELDAHL,N_DISS_KJELDAHL,NUTRIENTS
NITROGEN DISSOLVED ORGANIC (CALCD.),CALCULATED QUANTITIES,NITROGEN DISSOLVED ORGANIC (CALCD.),N_DISS ORG,NUTRIENTS
NITROGEN NITRITE,NITROGEN,NITROGEN NITRITE,N_NITRITE,NUTRIENTS
NITRITE AND NITRATE (AS N),NITROGEN,NITROGEN NO3 & NO2,N_NITRITE_NITRATE,NUTRIENTS
NITROGEN DISSOLVED NO3 & NO2,NITROGEN,NITROGEN NO3 & NO2,N_NITRITE_NITRATE,NUTRIENTS
NITROGEN TOTAL,NITROGEN,NITROGEN TOTAL,N_TOT,NUTRIENTS
NITROGEN TOTAL DISSOLVED,NITROGEN,NITROGEN TOTAL DISSOLVED,N_TOT_DISS,NUTRIENTS
